,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
179,West,1964,61.0,9879433,8002341.0,13.99,75.24,161958.0,0.81,4,"CA,CO,OR,WA"
180,Midwest,1968,136.0,21139558,18602811.0,28.88,155.37,155438.0,0.88,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
181,Northeast,1968,111.0,18001373,15121153.0,24.59,132.31,162175.0,0.84,5,"CT,MA,NJ,NY,PA"
182,Small,1968,68.0,5090628,9264943.0,6.95,37.41,74862.0,1.82,18,"AK,AZ,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
183,South,1968,162.0,18781750,21974648.0,25.66,138.04,115937.0,1.17,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
184,West,1968,61.0,10186689,8251218.0,13.92,74.87,166995.0,0.81,4,"CA,CO,OR,WA"
185,Midwest,1972,133.0,22023047,19160051.0,28.33,152.4,165587.0,0.87,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
186,Northeast,1972,107.0,18594197,15433184.0,23.92,128.67,173778.0,0.83,5,"CT,MA,NJ,NY,PA"
187,Small,1972,62.0,5102454,8980319.0,6.56,35.31,82298.0,1.76,17,"AK,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
188,South,1972,163.0,19650285,23580342.0,25.28,135.98,120554.0,1.2,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
189,West,1972,73.0,12374044,10517937.0,15.92,85.63,169507.0,0.85,5,"AZ,CA,CO,OR,WA"
190,Midwest,1976,133.0,22946835,20193215.0,28.14,151.42,172533.0,0.88,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
191,Northeast,1976,107.0,18089567,16280610.0,22.19,119.37,169061.0,0.9,5,"CT,MA,NJ,NY,PA"
192,Small,1976,62.0,5432503,9398230.0,6.66,35.85,87621.0,1.73,17,"AK,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
193,South,1976,163.0,22786298,24609202.0,27.95,150.36,139793.0,1.08,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
194,West,1976,73.0,12276381,11048743.0,15.06,81.01,168170.0,0.9,5,"AZ,CA,CO,OR,WA"
195,Midwest,1980,133.0,23907536,21277707.0,27.64,148.68,179756.0,0.89,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
196,Northeast,1980,107.0,17669727,17139635.0,20.43,109.89,165138.0,0.97,5,"CT,MA,NJ,NY,PA"
197,Small,1980,62.0,5964120,9960080.0,6.89,37.09,96195.0,1.67,17,"AK,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
198,South,1980,163.0,25398962,26160931.0,29.36,157.95,155822.0,1.03,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
199,West,1980,73.0,13569333,11805320.0,15.69,84.39,185881.0,0.87,5,"AZ,CA,CO,OR,WA"
200,Midwest,1984,126.0,24162466,21746219.0,26.08,140.3,191766.0,0.9,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
201,Northeast,1984,98.0,18895928,16817376.0,20.39,109.72,192816.0,0.89,5,"CT,MA,NJ,NY,PA"
202,Small,1984,64.0,6290572,11008501.0,6.79,36.53,98290.0,1.75,17,"AK,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
