,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
135,South,1912,165.0,2754579,4682784.0,18.31,97.23,16694.0,1.7,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
136,West,1912,26.0,1263206,732659.0,8.4,44.59,48585.0,0.58,3,"CA,CO,WA"
137,Nat'l Average,1912,531.0,15044278,15044278.0,100.0,531.0,28332.0,1.0,48,All 48
138,Midwest,1916,157.0,7779951,5445966.0,41.97,222.86,49554.0,0.7,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
139,Northeast,1916,128.0,4379947,4467546.0,23.63,125.47,34218.0,1.02,6,"CT,ME,MA,NJ,NY,PA"
140,Small,1916,55.0,1464614,1918644.0,7.9,41.96,26629.0,1.31,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
141,South,1916,165.0,3237101,5762040.0,17.46,92.73,19619.0,1.78,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
142,West,1916,26.0,1674972,904485.0,9.04,47.98,64422.0,0.54,3,"CA,CO,WA"
143,Nat'l Average,1916,531.0,18536585,18536585.0,100.0,531.0,34909.0,1.0,48,All 48
144,Midwest,1920,157.0,11045803,7952978.0,41.27,219.14,70355.0,0.72,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
145,Northeast,1920,128.0,7212148,6418812.0,26.95,143.08,56345.0,0.89,6,"CT,ME,MA,NJ,NY,PA"
146,Small,1920,55.0,1852764,2779146.0,6.92,36.76,33687.0,1.5,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
147,South,1920,165.0,5019647,8332614.0,18.75,99.59,30422.0,1.66,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
148,West,1920,26.0,1634818,1307854.0,6.11,32.43,62878.0,0.8,3,"CA,CO,WA"
149,Nat'l Average,1920,531.0,26765180,26765180.0,100.0,531.0,50405.0,1.0,48,All 48
150,Midwest,1924,157.0,11993630,8635414.0,41.22,218.87,76393.0,0.72,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
151,Northeast,1924,128.0,8217192,6984613.0,28.24,149.96,64197.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
152,Small,1924,55.0,2024443,3016420.0,6.96,36.94,36808.0,1.49,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
153,South,1924,165.0,4816133,9054330.0,16.55,87.89,29189.0,1.88,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
154,West,1924,26.0,2045709,1431996.0,7.03,37.33,78681.0,0.7,3,"CA,CO,WA"
155,Nat'l Average,1924,531.0,29097107,29097107.0,100.0,531.0,54797.0,1.0,48,All 48
156,Midwest,1928,157.0,14167592,10909046.0,38.49,204.39,90239.0,0.77,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
157,Northeast,1928,128.0,11497456,8853041.0,31.24,165.87,89824.0,0.77,6,"CT,ME,MA,NJ,NY,PA"
158,Small,1928,55.0,2343479,3819871.0,6.37,33.81,42609.0,1.63,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
159,South,1928,165.0,6108747,11423357.0,16.6,88.13,37023.0,1.87,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
160,West,1928,26.0,2689738,1802124.0,7.31,38.8,103451.0,0.67,3,"CA,CO,WA"
161,Nat'l Average,1928,531.0,36807012,36807012.0,100.0,531.0,69316.0,1.0,48,All 48
162,Midwest,1932,153.0,15385693,11385413.0,38.7,205.52,100560.0,0.74,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
163,Northeast,1932,124.0,11351595,9308308.0,28.56,151.63,91545.0,0.82,5,"CT,MA,NJ,NY,PA"
164,Small,1932,56.0,2951482,4191104.0,7.42,39.43,52705.0,1.42,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
165,South,1932,162.0,6722652,12100774.0,16.91,89.8,41498.0,1.8,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
166,West,1932,36.0,3340476,2705786.0,8.4,44.62,92791.0,0.81,3,"CA,CO,WA"
167,Nat'l Average,1932,531.0,39751898,39751898.0,100.0,531.0,74862.0,1.0,48,All 48
168,Midwest,1936,153.0,17258046,13116115.0,37.81,200.75,112798.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
169,Northeast,1936,124.0,14086341,10705619.0,30.86,163.86,113600.0,0.76,5,"CT,MA,NJ,NY,PA"
170,Small,1936,56.0,3176408,4828140.0,6.96,36.95,56722.0,1.52,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
171,South,1936,162.0,7307370,13957077.0,16.01,85.0,45107.0,1.91,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
172,West,1936,36.0,3819904,3094122.0,8.37,44.44,106108.0,0.81,3,"CA,CO,WA"
