,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
27,IL,Illinois,Midwest,1832,5.0,21481,1.68,4.85,4296.0,1.03,Democrat
28,IN,Indiana,Midwest,1832,9.0,47023,3.68,10.61,5225.0,0.85,Democrat
29,KY,Kentucky,Border,1832,15.0,79741,6.25,17.99,5316.0,0.83,National Republican
30,LA,Louisiana,Confederate,1832,5.0,6337,0.5,1.43,1267.0,3.5,Democrat
31,ME,Maine,Northeast,1832,10.0,62153,4.87,14.02,6215.0,0.71,Democrat
32,MD,Maryland,Border,1832,10.0,38316,3.0,8.64,3832.0,1.16,National Republican
33,MA,Massachusetts,Northeast,1832,14.0,67619,5.3,15.25,4830.0,0.92,National Republican
34,MS,Mississippi,Confederate,1832,4.0,5750,0.45,1.3,1438.0,3.08,Democrat
35,MO,Missouri,Border,1832,4.0,5192,0.41,1.17,1298.0,3.42,Democrat
36,NH,New Hampshire,Northeast,1832,7.0,43793,3.43,9.88,6256.0,0.71,Democrat
37,NJ,New Jersey,Northeast,1832,8.0,47760,3.74,10.77,5970.0,0.74,Democrat
38,NY,New York,Northeast,1832,42.0,323393,25.33,72.95,7700.0,0.58,Democrat
39,NC,North Carolina,Confederate,1832,15.0,29799,2.33,6.72,1987.0,2.23,Democrat
40,OH,Ohio,Midwest,1832,21.0,158294,12.4,35.71,7538.0,0.59,Democrat
41,PA,Pennsylvania,Northeast,1832,30.0,158638,12.43,35.79,5288.0,0.84,Democrat
42,RI,Rhode Island,Northeast,1832,4.0,4936,0.39,1.11,1234.0,3.59,National Republican
43,TN,Tennessee,Confederate,1832,15.0,29425,2.3,6.64,1962.0,2.26,Democrat
44,VT,Vermont,Northeast,1832,7.0,32128,2.52,7.25,4590.0,0.97,Anti-Masonic
45,VA,Virginia,Confederate,1832,23.0,45682,3.58,10.3,1986.0,2.23,Democrat
46,,,West,1832,0.0,0,0.0,0.0,0.0,0.0,
47,AL,Alabama,Confederate,1836,7.0,37296,2.48,7.3,5328.0,0.96,Democrat
48,AR,Arkansas,Confederate,1836,3.0,3714,0.25,0.73,1238.0,4.13,Democrat
49,CT,Connecticut,Northeast,1836,8.0,38093,2.53,7.45,4762.0,1.07,Democrat
50,DE,Delaware,Border,1836,3.0,8895,0.59,1.74,2965.0,1.72,Whig-Harrison
51,GA,Georgia,Confederate,1836,11.0,47259,3.14,9.24,4296.0,1.19,Whig-White
52,IL,Illinois,Midwest,1836,5.0,33589,2.24,6.57,6718.0,0.76,Democrat
53,IN,Indiana,Midwest,1836,9.0,73759,4.91,14.43,8195.0,0.62,Whig-Harrison
54,KY,Kentucky,Border,1836,15.0,70090,4.66,13.71,4673.0,1.09,Whig-Harrison
55,LA,Louisiana,Confederate,1836,5.0,7425,0.49,1.45,1485.0,3.44,Democrat
56,ME,Maine,Northeast,1836,10.0,38740,2.58,7.58,3874.0,1.32,Democrat
57,MD,Maryland,Border,1836,10.0,48119,3.2,9.41,4812.0,1.06,Whig-Harrison
58,MA,Massachusetts,Northeast,1836,14.0,74687,4.97,14.61,5335.0,0.96,Whig-Webster
59,MI,Michigan,Midwest,1836,3.0,12667,0.84,2.48,4222.0,1.21,Democrat
60,MS,Mississippi,Confederate,1836,4.0,20079,1.34,3.93,5020.0,1.02,Democrat
61,MO,Missouri,Border,1836,4.0,18332,1.22,3.59,4583.0,1.12,Democrat
62,NH,New Hampshire,Northeast,1836,7.0,24925,1.66,4.88,3561.0,1.44,Democrat
63,NJ,New Jersey,Northeast,1836,8.0,51729,3.44,10.12,6466.0,0.79,Whig-Harrison
64,NY,New York,Northeast,1836,42.0,305343,20.32,59.73,7270.0,0.7,Democrat
65,NC,North Carolina,Confederate,1836,15.0,50153,3.34,9.81,3344.0,1.53,Democrat
66,OH,Ohio,Midwest,1836,21.0,202333,13.46,39.58,9635.0,0.53,Whig-Harrison
67,PA,Pennsylvania,Northeast,1836,30.0,178692,11.89,34.96,5956.0,0.86,Democrat
68,RI,Rhode Island,Northeast,1836,4.0,5674,0.38,1.11,1418.0,3.6,Democrat
69,TN,Tennessee,Confederate,1836,15.0,62197,4.14,12.17,4146.0,1.23,Whig-White
70,VT,Vermont,Northeast,1836,7.0,35031,2.33,6.85,5004.0,1.02,Whig-Harrison
71,VA,Virginia,Confederate,1836,23.0,53945,3.59,10.55,2345.0,2.18,Democrat
