,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
180,Midwest,1920,167.0,11433816,8461024.0,42.72,226.84,68466.0,0.74,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
181,Northeast,1920,133.0,7380129,6715917.0,27.57,146.42,55490.0,0.91,7,"CT,ME,MA,NJ,NY,PA,RI"
182,Small,1920,35.0,1058248,1767274.0,3.95,20.99,30236.0,1.67,10,"AZ,DE,ID,MT,NV,NH,NM,UT,VT,WY"
183,South,1920,165.0,5019647,8332614.0,18.75,99.59,30422.0,1.66,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
184,West,1920,31.0,1873340,1554872.0,7.0,37.17,60430.0,0.83,4,"CA,CO,OR,WA"
185,Nat'l Average,1920,531.0,26765180,26765180.0,100.0,531.0,50405.0,1.0,48,All 47
186,Midwest,1924,167.0,12396579,9173468.0,42.6,226.23,74231.0,0.74,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
187,Northeast,1924,133.0,8427307,7247484.0,28.96,153.79,63363.0,0.86,7,"CT,ME,MA,NJ,NY,PA,RI"
188,Small,1924,35.0,1131891,1912896.0,3.89,20.66,32340.0,1.69,10,"AZ,DE,ID,MT,NV,NH,NM,UT,VT,WY"
189,South,1924,165.0,4816133,9054330.0,16.55,87.89,29189.0,1.88,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
190,West,1924,31.0,2325197,1697394.0,7.99,42.43,75006.0,0.73,4,"CA,CO,OR,WA"
191,Nat'l Average,1924,531.0,29097107,29097107.0,100.0,531.0,54797.0,1.0,48,All 47
192,Midwest,1928,167.0,14669324,11588766.0,39.85,211.63,87840.0,0.79,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
193,Northeast,1928,133.0,11734650,9270374.0,31.88,169.29,88230.0,0.79,7,"CT,ME,MA,NJ,NY,PA,RI"
194,Small,1928,35.0,1284611,2427915.0,3.49,18.53,36703.0,1.89,10,"AZ,DE,ID,MT,NV,NH,NM,UT,VT,WY"
195,South,1928,165.0,6108747,11423357.0,16.6,88.13,37023.0,1.87,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
196,West,1928,31.0,3009680,2136873.0,8.18,43.42,97086.0,0.71,4,"CA,CO,OR,WA"
197,Nat'l Average,1928,531.0,36807012,36807012.0,100.0,531.0,69316.0,1.0,48,All 47
198,Midwest,1932,153.0,15385693,11385413.0,38.7,205.52,100560.0,0.74,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
199,Northeast,1932,129.0,11650039,9669532.0,29.31,155.62,90310.0,0.83,6,"CT,ME,MA,NJ,NY,PA"
200,Small,1932,46.0,2284230,3449187.0,5.75,30.51,49657.0,1.51,13,"AZ,DE,ID,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
201,South,1932,162.0,6722652,12100774.0,16.91,89.8,41498.0,1.8,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
202,West,1932,41.0,3709284,3078706.0,9.33,49.55,90470.0,0.83,4,"CA,CO,OR,WA"
203,Nat'l Average,1932,531.0,39751898,39751898.0,100.0,531.0,74862.0,1.0,48,All 47
204,Midwest,1936,153.0,17258046,13116115.0,37.81,200.75,112798.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
205,Northeast,1936,129.0,14390581,11080747.0,31.53,167.4,111555.0,0.77,6,"CT,ME,MA,NJ,NY,PA"
206,Small,1936,46.0,2458147,3957617.0,5.39,28.59,53438.0,1.61,13,"AZ,DE,ID,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
207,South,1936,162.0,7307370,13957077.0,16.01,85.0,45107.0,1.91,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
208,West,1936,41.0,4233925,3514158.0,9.28,49.25,103266.0,0.83,4,"CA,CO,OR,WA"
209,Nat'l Average,1936,531.0,45647699,45647699.0,100.0,531.0,85966.0,1.0,48,All 47
210,Midwest,1940,153.0,18588567,14313197.0,37.25,197.8,121494.0,0.77,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
211,Northeast,1940,129.0,15483859,12077410.0,31.03,164.76,120030.0,0.78,6,"CT,ME,MA,NJ,NY,PA"
212,Small,1940,46.0,2654776,4327285.0,5.32,28.25,57713.0,1.63,13,"AZ,DE,ID,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
213,South,1940,162.0,8082043,15194241.0,16.2,86.0,49889.0,1.88,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
214,West,1940,41.0,5092868,3870580.0,10.21,54.19,124216.0,0.76,4,"CA,CO,OR,WA"
215,Nat'l Average,1940,531.0,49902113,49902113.0,100.0,531.0,93978.0,1.0,48,All 47
216,Midwest,1944,147.0,17453087,13264346.0,36.38,193.17,118728.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
217,Northeast,1944,127.0,15164399,11524943.0,31.61,167.84,119405.0,0.76,6,"CT,ME,MA,NJ,NY,PA"
218,Small,1944,48.0,2341298,4331401.0,4.88,25.91,48777.0,1.85,13,"AZ,DE,ID,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
219,South,1944,164.0,7655890,14852427.0,15.96,84.73,46682.0,1.94,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
220,West,1944,45.0,5362389,4075416.0,11.18,59.35,119164.0,0.76,4,"CA,CO,OR,WA"
221,Nat'l Average,1944,531.0,47977063,47977063.0,100.0,531.0,90352.0,1.0,48,All 47
222,Midwest,1948,147.0,17069617,13484997.0,34.98,185.76,116120.0,0.79,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
223,Northeast,1948,127.0,15117491,11640468.0,30.98,164.52,119035.0,0.77,6,"CT,ME,MA,NJ,NY,PA"
