,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
176,Postbellum,1916,31.0,1255437,1079676.0,6.77,35.96,40498.0,0.86,4,"CO,NE,OK,WA"
177,Small,1916,55.0,1464614,1918644.0,7.9,41.96,26629.0,1.31,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
178,Union,1916,272.0,12085417,9547479.0,65.2,346.2,44432.0,0.79,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
179,Nat'l Average,1916,531.0,18536585,18536585.0,100.0,531.0,34909.0,1.0,48,All 48
180,Border,1920,47.0,3189893,2360521.0,11.92,63.29,67870.0,0.74,4,"KY,MD,MO,WV"
181,Confederate,1920,126.0,2675944,6341987.0,10.0,53.09,21238.0,2.37,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
182,Postbellum,1920,31.0,1560121,1560121.0,5.83,30.95,50326.0,1.0,4,"CO,NE,OK,WA"
183,Small,1920,55.0,1852764,2779146.0,6.92,36.76,33687.0,1.5,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
184,Union,1920,272.0,17486458,13639437.0,65.33,346.92,64288.0,0.78,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
185,Nat'l Average,1920,531.0,26765180,26765180.0,100.0,531.0,50405.0,1.0,48,All 48
186,Border,1924,47.0,3065582,2575089.0,10.54,55.94,65225.0,0.84,4,"KY,MD,MO,WV"
187,Confederate,1924,126.0,2530094,6907157.0,8.7,46.17,20080.0,2.73,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
188,Postbellum,1924,31.0,1756397,1703705.0,6.04,32.05,56658.0,0.97,4,"CO,NE,OK,WA"
189,Small,1924,55.0,2024443,3016420.0,6.96,36.94,36808.0,1.49,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
190,Union,1924,272.0,19720591,14987649.0,67.78,359.88,72502.0,0.76,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
191,Nat'l Average,1924,531.0,29097107,29097107.0,100.0,531.0,54797.0,1.0,48,All 48
192,Border,1928,47.0,3612425,3251182.0,9.81,52.12,76860.0,0.9,4,"KY,MD,MO,WV"
193,Confederate,1928,126.0,3378616,8750615.0,9.18,48.74,26814.0,2.59,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
194,Postbellum,1928,31.0,2058653,2140999.0,5.59,29.7,66408.0,1.04,4,"CO,NE,OK,WA"
195,Small,1928,55.0,2343479,3819871.0,6.37,33.81,42609.0,1.63,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
196,Union,1928,272.0,25413839,18806241.0,69.05,366.64,93433.0,0.74,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
197,Nat'l Average,1928,531.0,36807012,36807012.0,100.0,531.0,69316.0,1.0,48,All 48
198,Border,1932,42.0,3847785,3155184.0,9.68,51.4,91614.0,0.82,4,"KY,MD,MO,WV"
199,Confederate,1932,124.0,3780128,9299115.0,9.51,50.49,30485.0,2.46,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
200,Postbellum,1932,32.0,2347280,2394226.0,5.9,31.35,73352.0,1.02,4,"CO,NE,OK,WA"
201,Small,1932,56.0,2951482,4191104.0,7.42,39.43,52705.0,1.42,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
202,Union,1932,277.0,26825223,20655422.0,67.48,358.33,96842.0,0.77,14,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,PA,WI"
203,Nat'l Average,1932,531.0,39751898,39751898.0,100.0,531.0,74862.0,1.0,48,All 48
204,Border,1936,42.0,4209679,3620324.0,9.22,48.97,100230.0,0.86,4,"KY,MD,MO,WV"
205,Confederate,1936,124.0,4176586,10650294.0,9.15,48.58,33682.0,2.55,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
206,Postbellum,1936,32.0,2538785,2741888.0,5.56,29.53,79337.0,1.08,4,"CO,NE,OK,WA"
207,Small,1936,56.0,3176408,4828140.0,6.96,36.95,56722.0,1.52,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
208,Union,1936,277.0,31546611,23659958.0,69.11,366.97,113887.0,0.75,14,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,PA,WI"
209,Nat'l Average,1936,531.0,45647699,45647699.0,100.0,531.0,85966.0,1.0,48,All 48
210,Border,1940,42.0,4331985,3942106.0,8.68,46.1,103142.0,0.91,4,"KY,MD,MO,WV"
211,Confederate,1940,124.0,4757575,11656059.0,9.53,50.62,38368.0,2.45,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
212,Postbellum,1940,32.0,2784927,3007721.0,5.58,29.63,87029.0,1.08,4,"CO,NE,OK,WA"
213,Small,1940,56.0,3456856,5254421.0,6.93,36.78,61730.0,1.52,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
214,Union,1940,277.0,34570770,25928078.0,69.28,367.86,124804.0,0.75,14,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,PA,WI"
215,Nat'l Average,1940,531.0,49902113,49902113.0,100.0,531.0,93978.0,1.0,48,All 48
216,Border,1944,42.0,3764430,3802074.0,7.85,41.66,89629.0,1.01,4,"KY,MD,MO,WV"
217,Confederate,1944,127.0,4741298,11473941.0,9.88,52.48,37333.0,2.42,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
218,Postbellum,1944,30.0,2647129,2700072.0,5.52,29.3,88238.0,1.02,4,"CO,NE,OK,WA"
219,Small,1944,53.0,2637698,4800610.0,5.5,29.19,49768.0,1.82,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
220,Union,1944,279.0,34186508,25298016.0,71.26,378.37,122532.0,0.74,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
221,Nat'l Average,1944,531.0,47977063,47977063.0,100.0,531.0,90352.0,1.0,48,All 48
222,Border,1948,42.0,3746771,3859174.0,7.68,40.77,89209.0,1.03,4,"KY,MD,MO,WV"
